"Step","baseline_runseed=4 - training/episode/length","baseline_runseed=4 - training/episode/length__MIN","baseline_runseed=4 - training/episode/length__MAX","baseline_runseed=3 - training/episode/length","baseline_runseed=3 - training/episode/length__MIN","baseline_runseed=3 - training/episode/length__MAX","baseline_runseed=2 - training/episode/length","baseline_runseed=2 - training/episode/length__MIN","baseline_runseed=2 - training/episode/length__MAX","baseline_runseed=1 - training/episode/length","baseline_runseed=1 - training/episode/length__MIN","baseline_runseed=1 - training/episode/length__MAX","baseline_runseed=0 - training/episode/length","baseline_runseed=0 - training/episode/length__MIN","baseline_runseed=0 - training/episode/length__MAX"
"9368384","","","","","","","","","","","","","2055","2055","2055"
"9370688","","","","","","","1474","1474","1474","","","","","",""
"9372992","5000","5000","5000","","","","","","","","","","","",""
"9374272","","","","","","","","","","4962","4962","4962","","",""
"9376256","","","","","","","","","","","","","719","719","719"
"9376448","","","","","","","","","","471","471","471","","",""
"9376640","","","","5000","5000","5000","","","","","","","","",""
"9376832","5000","5000","5000","","","","","","","","","","","",""
"9377600","","","","","","","","","","2472","2472","2472","","",""
"9378432","","","","","","","","","","3605","3605","3605","","",""
"9380480","","","","","","","","","","","","","3998","3998","3998"
"9380544","","","","","","","1883","1883","1883","","","","","",""
"9381504","","","","","","","","","","","","","2455","2455","2455"
"9383040","","","","","","","","","","5000","5000","5000","","",""
"9383232","","","","2189","2189","2189","","","","","","","","",""
"9383488","","","","5000","5000","5000","","","","","","","","",""
"9384704","","","","","","","3146","3146","3146","","","","","",""
"9385088","","","","","","","4746","4746","4746","","","","","",""
"9385152","","","","","","","","","","","","","2754","2754","2754"
"9385280","4182","4182","4182","","","","","","","","","","","",""
"9386048","","","","","","","","","","4114","4114","4114","","",""
"9386560","","","","5000","5000","5000","","","","","","","","",""
"9387776","","","","","","","","","","352","352","352","","",""
"9389184","","","","","","","5000","5000","5000","","","","","",""
"9389952","","","","","","","","","","5000","5000","5000","","",""
"9390208","","","","5000","5000","5000","","","","","","","","",""
"9390848","","","","2691","2691","2691","","","","","","","","",""
"9391104","5000","5000","5000","","","","","","","","","","","",""
"9392000","","","","","","","3897","3897","3897","","","","","",""
"9392192","","","","","","","","","","4913","4913","4913","","",""
"9392512","5000","5000","5000","","","","","","","","","","2311","2311","2311"
"9392704","","","","","","","5000","5000","5000","","","","","",""
"9393152","5000","5000","5000","","","","","","","","","","","",""
"9394624","2867","2867","2867","","","","","","","","","","","",""
"9394752","","","","","","","","","","4665","4665","4665","","",""
"9394816","","","","","","","","","","964","964","964","","",""
"9394944","","","","","","","3637","3637","3637","","","","","",""
"9395008","","","","","","","","","","5000","5000","5000","","",""
"9395584","","","","5000","5000","5000","","","","1574","1574","1574","","",""
"9396736","","","","","","","719","719","719","","","","","",""
"9397888","","","","3405","3405","3405","","","","","","","","",""
"9398592","","","","","","","5000","5000","5000","","","","","",""
"9399360","","","","","","","","","","4826","4826","4826","","",""
"9399488","","","","","","","","","","5000","5000","5000","","",""
"9399936","","","","","","","1798","1798","1798","","","","","",""
"9400064","","","","","","","3795","3795","3795","","","","","",""
"9400256","","","","1394","1394","1394","","","","","","","","",""
"9402240","","","","","","","5000","5000","5000","","","","","",""
"9402368","3592","3592","3592","","","","","","","","","","","",""
"9403072","","","","5000","5000","5000","","","","","","","","",""
"9403328","","","","","","","5000","5000","5000","","","","","",""
"9403456","","","","","","","","","","","","","889","889","889"
"9405248","","","","","","","3433","3433","3433","","","","","",""
"9405504","","","","5000","5000","5000","","","","","","","","",""
"9406656","","","","4427","4427","4427","","","","","","","","",""
"9406976","","","","","","","","","","","","","1888","1888","1888"
"9408768","","","","","","","5000","5000","5000","","","","","",""
"9409344","3412","3412","3412","","","","5000","5000","5000","","","","","",""
"9409984","","","","","","","","","","2437","2437","2437","","",""
"9410880","","","","","","","","","","1446","1446","1446","","",""
"9411072","","","","","","","","","","","","","827","827","827"
"9412928","","","","","","","","","","","","","1844","1844","1844"
"9413632","1036","1036","1036","","","","","","","","","","","",""
"9413888","","","","","","","","","","","","","1321","1321","1321"
"9415168","","","","","","","","","","3558","3558","3558","","",""
"9415488","5000","5000","5000","","","","","","","","","","","",""
"9416128","","","","","","","","","","1046","1046","1046","","",""
"9416960","","","","2822","2822","2822","","","","","","","","",""
"9418752","","","","","","","5000","5000","5000","","","","","",""
"9419008","","","","","","","5000","5000","5000","","","","","",""
"9420160","5000","5000","5000","","","","","","","","","","","",""
"9420736","","","","","","","","","","1259","1259","1259","","",""
"9422976","","","","","","","","","","5000","5000","5000","","",""
"9423488","","","","","","","","","","","","","1563","1563","1563"
"9423552","","","","5000","5000","5000","","","","","","","","",""
"9425792","","","","","","","4239","4239","4239","","","","","",""
"9425856","","","","","","","","","","","","","242","242","242"
"9426560","","","","","","","","","","","","","3014","3014","3014"
"9428288","5000","5000","5000","","","","","","","","","","","",""
"9428480","","","","2330","2330","2330","","","","","","","","",""
"9428672","","","","","","","","","","","","","339","339","339"
"9430592","","","","","","","","","","2300","2300","2300","","",""
"9430720","","","","","","","","","","1716","1716","1716","","",""
"9430784","","","","4705","4705","4705","","","","","","","","",""
"9431232","5000","5000","5000","","","","","","","","","","","",""
"9432320","","","","648","648","648","","","","","","","","",""
"9433024","","","","","","","","","","853","853","853","","",""
"9433472","","","","","","","1308","1308","1308","","","","","",""
"9434240","5000","5000","5000","","","","1937","1937","1937","","","","","",""
"9434368","1047","1047","1047","","","","","","","","","","","",""
"9434496","","","","","","","2104","2104","2104","","","","","",""
"9434560","","","","","","","4726","4726","4726","","","","","",""
"9434624","","","","","","","1950","1950","1950","","","","","",""
"9434944","","","","","","","","","","1729","1729","1729","","",""
"9435328","","","","","","","856","856","856","","","","","",""
"9437184","","","","5000","5000","5000","","","","","","","","",""
"9437568","","","","","","","","","","","","","819","819","819"
"9437888","","","","","","","","","","5000","5000","5000","","",""
"9438272","","","","","","","452","452","452","","","","","",""
"9438912","","","","3318","3318","3318","","","","","","","","",""
"9439360","4533","4533","4533","","","","","","","","","","","",""
"9440256","","","","","","","","","","","","","456","456","456"
"9440896","","","","","","","","","","387","387","387","","",""
"9442496","","","","","","","5000","5000","5000","","","","","",""
"9443968","5000","5000","5000","","","","","","","","","","","",""
"9444160","","","","2315","2315","2315","","","","","","","","",""
"9445376","","","","","","","","","","3704","3704","3704","820","820","820"
"9447296","","","","","","","972","972","972","","","","","",""
"9447488","","","","","","","","","","1916","1916","1916","","",""
"9447616","","","","4522","4522","4522","","","","","","","","",""
"9447872","","","","","","","","","","578","578","578","","",""
"9449088","","","","","","","","","","3040","3040","3040","","",""
"9449664","5000","5000","5000","","","","","","","","","","","",""
"9451968","5000","5000","5000","","","","","","","","","","","",""
"9452544","3328","3328","3328","","","","","","","","","","","",""
"9453568","","","","","","","","","","5000","5000","5000","","",""
"9453824","","","","","","","","","","1728","1728","1728","","",""
"9454528","","","","","","","2417","2417","2417","","","","","",""
"9454656","","","","","","","","","","5000","5000","5000","","",""
"9455808","","","","4621","4621","4621","","","","","","","","",""
"9456896","","","","","","","5000","5000","5000","","","","","",""
"9457024","","","","","","","1349","1349","1349","","","","","",""
"9457536","5000","5000","5000","","","","","","","","","","","",""
"9457664","","","","","","","","","","5000","5000","5000","","",""
"9462080","","","","2700","2700","2700","","","","","","","","",""
"9462784","","","","5000","5000","5000","","","","","","","","",""
"9463104","1855","1855","1855","","","","","","","","","","","",""
"9464064","","","","","","","5000","5000","5000","","","","","",""
"9465152","","","","","","","","","","","","","5000","5000","5000"
"9465472","","","","","","","","","","","","","1269","1269","1269"
"9466240","","","","","","","4838","4838","4838","","","","","",""
"9468544","","","","","","","5000","5000","5000","","","","","",""
"9471040","","","","2335","2335","2335","","","","","","","","",""
"9471936","","","","","","","","","","5000","5000","5000","","",""
"9472576","","","","","","","4054","4054","4054","","","","","",""
"9473344","","","","","","","","","","","","","128","128","128"
"9473856","","","","","","","","","","","","","647","647","647"
"9474304","","","","","","","","","","2204","2204","2204","","",""
"9474560","","","","","","","","","","","","","305","305","305"
"9474944","5000","5000","5000","","","","","","","","","","","",""
"9476800","","","","","","","","","","3893","3893","3893","","",""
"9477312","","","","","","","5000","5000","5000","","","","","",""
"9477568","","","","5000","5000","5000","","","","","","","","",""
"9477760","","","","","","","4298","4298","4298","","","","","",""
"9480256","","","","","","","","","","","","","1931","1931","1931"
"9481216","","","","","","","","","","5000","5000","5000","","",""
"9481792","","","","5000","5000","5000","","","","","","","","",""
"9485824","","","","5000","5000","5000","","","","","","","","",""
"9485888","","","","","","","","","","","","","1759","1759","1759"
"9487104","5000","5000","5000","","","","","","","","","","","",""
"9487680","","","","5000","5000","5000","","","","","","","","",""
"9488000","3063","3063","3063","","","","","","","","","","","",""
"9488192","5000","5000","5000","","","","","","","","","","","",""
"9490368","","","","","","","","","","","","","304","304","304"
"9491264","","","","3156","3156","3156","","","","","","","","",""
"9491520","","","","","","","4682","4682","4682","","","","","",""
"9494528","","","","1391","1391","1391","","","","","","","","",""
"9495232","","","","","","","","","","849","849","849","","",""
"9495488","2783","2783","2783","","","","","","","","","","","",""
"9495744","","","","","","","","","","","","","331","331","331"
"9496064","4019","4019","4019","","","","","","","","","","","",""
"9496448","","","","5000","5000","5000","","","","","","","","",""
"9496832","","","","","","","","","","1033","1033","1033","","",""
"9499328","","","","","","","","","","","","","1562","1562","1562"
"9499904","","","","","","","","","","","","","219","219","219"
"9501056","","","","","","","5000","5000","5000","","","","","",""
"9501632","","","","","","","1047","1047","1047","","","","","",""
"9501952","","","","","","","","","","","","","1097","1097","1097"
"9503232","","","","","","","2456","2456","2456","","","","","",""
"9503360","","","","","","","","","","5000","5000","5000","","",""
"9503552","5000","5000","5000","","","","","","","","","","","",""
"9503616","","","","","","","","","","1837","1837","1837","","",""
"9503680","","","","4663","4663","4663","","","","","","","","",""
"9503744","5000","5000","5000","","","","","","","","","","","",""
"9504128","5000","5000","5000","","","","","","","","","","","",""
"9504512","","","","1052","1052","1052","","","","","","","","",""
"9505984","5000","5000","5000","","","","","","","","","","","",""
"9506048","","","","","","","","","","","","","1070","1070","1070"
"9506688","980","980","980","","","","","","","","","","","",""
"9506816","5000","5000","5000","","","","","","","","","","","",""
"9507520","","","","","","","","","","779","779","779","","",""
"9507840","","","","","","","","","","4073","4073","4073","","",""
"9508864","4190","4190","4190","","","","","","","","","","","",""
"9509248","","","","","","","5000","5000","5000","","","","","",""
"9510656","","","","4055","4055","4055","","","","","","","","",""
"9512384","","","","","","","","","","","","","1433","1433","1433"
"9513088","","","","4613","4613","4613","","","","","","","","",""
"9513280","","","","2135","2135","2135","","","","","","","","",""
"9514048","","","","","","","","","","1266","1266","1266","","",""
"9514176","","","","","","","","","","1941","1941","1941","","",""
"9517504","","","","2504","2504","2504","","","","","","","","",""
"9517952","","","","","","","","","","3542","3542","3542","","",""
"9518272","3893","3893","3893","","","","","","","","","","","",""
"9518912","","","","","","","1806","1806","1806","","","","","",""
"9519552","","","","","","","2107","2107","2107","","","","","",""
"9519744","","","","5000","5000","5000","","","","","","","","",""
"9520512","","","","","","","1348","1348","1348","","","","","",""
"9520704","","","","","","","","","","","","","390","390","390"
"9520768","","","","","","","1909","1909","1909","","","","","",""
"9521792","","","","","","","","","","","","","246","246","246"
"9522048","","","","","","","","","","2623","2623","2623","","",""
"9522496","4984","4984","4984","","","","","","","","","","","",""
"9522944","2151","2151","2151","","","","","","","","","","","",""
"9523776","4090","4090","4090","","","","","","","","","","","",""
"9524352","","","","1335","1335","1335","","","","","","","","",""
"9525120","","","","","","","","","","","","","394","394","394"
"9525312","","","","","","","","","","834","834","834","","",""
"9526528","1662","1662","1662","","","","","","","","","","","",""
"9526912","","","","","","","","","","1216","1216","1216","","",""
"9527616","","","","","","","","","","375","375","375","","",""
"9527680","5000","5000","5000","","","","","","","","","","","",""
"9528128","","","","5000","5000","5000","","","","","","","","",""
"9528576","","","","","","","","","","","","","1093","1093","1093"
"9529408","","","","","","","","","","2104","2104","2104","","",""
"9530176","","","","3543","3543","3543","","","","","","","","",""
"9530240","","","","","","","5000","5000","5000","","","","","",""
"9532736","","","","","","","","","","3533","3533","3533","1626","1626","1626"
"9532800","5000","5000","5000","","","","","","","","","","","",""
"9533248","","","","","","","5000","5000","5000","","","","","",""
"9535040","","","","","","","1221","1221","1221","","","","","",""
"9535744","","","","","","","2290","2290","2290","","","","","",""
"9536064","5000","5000","5000","","","","","","","","","","","",""
"9536704","","","","","","","","","","","","","539","539","539"
"9537024","","","","","","","5000","5000","5000","","","","","",""
"9537152","","","","","","","5000","5000","5000","","","","","",""
"9537984","","","","","","","4270","4270","4270","","","","","",""
"9538816","5000","5000","5000","","","","","","","","","","","",""
"9539328","","","","3434","3434","3434","","","","","","","","",""
"9539520","","","","5000","5000","5000","","","","","","","","",""
"9539584","","","","5000","5000","5000","","","","","","","","",""
"9539904","","","","","","","","","","","","","377","377","377"
"9540288","","","","","","","1653","1653","1653","","","","","",""
"9540352","","","","","","","","","","2262","2262","2262","","",""
"9540864","","","","","","","1661","1661","1661","","","","","",""
"9542208","","","","","","","","","","","","","2854","2854","2854"
"9543488","","","","","","","","","","","","","144","144","144"
"9543616","","","","","","","2777","2777","2777","","","","","",""
"9544640","","","","","","","","","","","","","504","504","504"
"9546176","","","","2813","2813","2813","","","","","","","","",""
"9546752","","","","5000","5000","5000","","","","","","","","",""
"9546880","","","","","","","2296","2296","2296","","","","","",""
"9548096","5000","5000","5000","","","","","","","","","","","",""
"9548544","5000","5000","5000","","","","","","","","","","","",""
"9548736","","","","","","","","","","330","330","330","","",""
"9548800","2442","2442","2442","","","","","","","","","","","",""
"9550720","","","","","","","5000","5000","5000","","","","","",""
"9551424","","","","","","","","","","2768","2768","2768","","",""
"9552448","","","","","","","","","","","","","1359","1359","1359"
"9553536","","","","","","","","","","3300","3300","3300","","",""
"9553664","","","","","","","","","","4235","4235","4235","","",""
"9553792","","","","","","","5000","5000","5000","","","","","",""
"9554176","2493","2493","2493","","","","","","","","","","","",""
"9555520","","","","","","","","","","","","","2376","2376","2376"
"9556864","","","","","","","3209","3209","3209","","","","","",""
"9557504","","","","","","","","","","","","","4302","4302","4302"
"9558656","","","","5000","5000","5000","","","","","","","","",""
"9558784","","","","","","","2399","2399","2399","","","","","",""
"9559744","","","","","","","5000","5000","5000","","","","","",""
"9561344","4332","4332","4332","","","","","","","","","","","",""
"9562112","","","","","","","5000","5000","5000","","","","","",""
"9562176","","","","","","","3481","3481","3481","","","","","",""
"9562688","","","","","","","","","","584","584","584","","",""
"9563968","","","","1350","1350","1350","","","","","","","","",""
"9564224","","","","","","","5000","5000","5000","","","","","",""
"9566336","","","","3364","3364","3364","","","","","","","339","339","339"
"9566912","","","","","","","","","","","","","2725","2725","2725"
"9568704","","","","","","","","","","3301","3301","3301","","",""
"9568832","","","","","","","3773","3773","3773","","","","","",""
"9569280","4323","4323","4323","","","","","","","","","","","",""
"9569920","","","","","","","2103","2103","2103","","","","","",""
"9570304","","","","","","","","","","","","","730","730","730"
"9570368","2420","2420","2420","","","","","","","","","","","",""
"9570752","","","","","","","5000","5000","5000","","","","","",""
"9571392","","","","","","","","","","2688","2688","2688","","",""
"9572480","","","","5000","5000","5000","","","","","","","","",""
"9572928","","","","","","","","","","2156","2156","2156","","",""
"9574336","","","","","","","","","","5000","5000","5000","","",""
"9577280","5000","5000","5000","","","","","","","","","","","",""
"9577600","","","","","","","","","","","","","3824","3824","3824"
"9578048","","","","","","","","","","5000","5000","5000","","",""
"9578496","","","","","","","","","","3925","3925","3925","","",""
"9578560","","","","","","","","","","4419","4419","4419","","",""
"9579072","","","","","","","5000","5000","5000","","","","","",""
"9580352","","","","","","","","","","4396","4396","4396","","",""
"9581184","5000","5000","5000","","","","","","","","","","","",""
"9581440","","","","3378","3378","3378","","","","","","","","",""
"9581696","","","","","","","","","","2515","2515","2515","","",""
"9581888","","","","","","","","","","","","","1353","1353","1353"
"9582336","","","","1739","1739","1739","","","","","","","","",""
"9582848","","","","5000","5000","5000","","","","","","","","",""
"9585792","","","","","","","","","","2984","2984","2984","","",""
"9586752","","","","","","","","","","","","","4339","4339","4339"
"9586944","","","","","","","780","780","780","","","","","",""
"9588224","","","","1171","1171","1171","","","","","","","","",""
"9588544","","","","","","","","","","3951","3951","3951","","",""
"9588608","","","","","","","496","496","496","","","","","",""
"9588992","","","","2905","2905","2905","","","","","","","","",""
"9589120","","","","","","","","","","413","413","413","","",""
"9589248","","","","","","","","","","5000","5000","5000","","",""
"9590016","","","","792","792","792","","","","","","","","",""
"9590848","5000","5000","5000","","","","","","","","","","","",""
"9590912","","","","4915","4915","4915","","","","","","","","",""
"9591680","","","","","","","","","","5000","5000","5000","","",""
"9592256","","","","","","","","","","","","","1750","1750","1750"
"9593792","","","","","","","","","","1121","1121","1121","","",""
"9595200","2274","2274","2274","","","","","","","","","","","",""
"9595520","","","","5000","5000","5000","","","","","","","","",""
"9596160","","","","","","","","","","","","","1215","1215","1215"
"9596608","","","","","","","","","","2363","2363","2363","","",""
"9598720","","","","5000","5000","5000","","","","","","","","",""
"9598784","","","","5000","5000","5000","","","","","","","","",""
"9599808","","","","","","","","","","1100","1100","1100","","",""
"9600256","","","","","","","2058","2058","2058","5000","5000","5000","","",""
"9602048","","","","","","","","","","","","","2784","2784","2784"
"9602944","","","","","","","2878","2878","2878","","","","","",""
"9604160","","","","","","","5000","5000","5000","","","","","",""
"9604864","","","","5000","5000","5000","","","","","","","","",""
"9605312","","","","","","","","","","","","","366","366","366"
"9606400","","","","1282","1282","1282","","","","","","","","",""
"9606912","","","","","","","","","","5000","5000","5000","","",""
"9607488","","","","","","","3356","3356","3356","","","","","",""
"9607680","","","","","","","1362","1362","1362","","","","","",""
"9608640","","","","","","","","","","5000","5000","5000","","",""
"9608704","","","","","","","","","","5000","5000","5000","","",""
"9608832","","","","","","","","","","5000","5000","5000","","",""
"9609472","5000","5000","5000","","","","","","","","","","","",""
"9610048","","","","","","","3361","3361","3361","","","","","",""
"9610432","","","","5000","5000","5000","","","","","","","","",""
"9613952","1725","1725","1725","","","","","","","","","","","",""
"9614656","","","","5000","5000","5000","","","","","","","","",""
"9614976","1984","1984","1984","","","","","","","","","","","",""
"9616704","","","","","","","1230","1230","1230","","","","","",""
"9616768","","","","","","","","","","","","","3947","3947","3947"
"9616832","","","","","","","","","","5000","5000","5000","","",""
"9618048","","","","","","","","","","771","771","771","","",""
"9618944","","","","","","","3472","3472","3472","","","","","",""
"9619072","","","","5000","5000","5000","","","","","","","","",""
"9619904","","","","4937","4937","4937","","","","","","","","",""
"9620672","5000","5000","5000","","","","","","","","","","","",""
"9620800","","","","","","","","","","748","748","748","","",""
"9621248","","","","","","","","","","3961","3961","3961","","",""
"9621376","4630","4630","4630","","","","","","","","","","","",""
"9621824","","","","","","","","","","","","","1244","1244","1244"
"9621888","","","","","","","934","934","934","1484","1484","1484","","",""
"9623040","","","","","","","","","","530","530","530","","",""
"9625408","","","","","","","","","","5000","5000","5000","","",""
"9630464","","","","","","","","","","","","","787","787","787"
"9630912","","","","","","","","","","","","","5000","5000","5000"
"9631040","","","","","","","","","","","","","1649","1649","1649"
"9631488","5000","5000","5000","","","","","","","","","","","",""
"9631936","","","","5000","5000","5000","","","","","","","","",""
"9632896","","","","2269","2269","2269","","","","","","","","",""
"9633920","5000","5000","5000","","","","","","","","","","","",""
"9634304","","","","","","","","","","822","822","822","","",""
"9635008","","","","5000","5000","5000","","","","","","","","",""
"9636160","","","","","","","5000","5000","5000","","","","","",""
"9638016","","","","","","","","","","3482","3482","3482","1373","1373","1373"
"9638080","","","","","","","5000","5000","5000","","","","","",""
"9638720","5000","5000","5000","","","","","","","","","","","",""
"9638976","","","","","","","","","","","","","1725","1725","1725"
"9641024","","","","","","","","","","4712","4712","4712","","",""
"9641216","","","","","","","","","","","","","382","382","382"
"9642240","","","","","","","1251","1251","1251","","","","","",""
"9642368","","","","","","","","","","","","","1012","1012","1012"
"9643840","","","","5000","5000","5000","1142","1142","1142","","","","","",""
"9643904","","","","","","","","","","2298","2298","2298","","",""
"9644864","","","","","","","581","581","581","","","","","",""
"9645888","","","","1808","1808","1808","","","","","","","","",""
"9646080","","","","","","","","","","5000","5000","5000","","",""
"9646976","","","","","","","1667","1667","1667","","","","542","542","542"
"9647232","","","","","","","","","","","","","2270","2270","2270"
"9648512","","","","","","","5000","5000","5000","","","","","",""
"9649280","","","","","","","","","","","","","1940","1940","1940"
"9649664","","","","5000","5000","5000","","","","","","","","",""
"9650432","","","","3468","3468","3468","","","","","","","","",""
"9652416","1299","1299","1299","","","","","","","","","","","",""
"9652736","","","","","","","","","","464","464","464","","",""
"9653568","","","","","","","1559","1559","1559","","","","","",""
"9654528","","","","","","","5000","5000","5000","","","","","",""
"9656576","1688","1688","1688","","","","","","","","","","","",""
"9657536","","","","","","","","","","5000","5000","5000","","",""
"9658624","","","","4110","4110","4110","","","","","","","","",""
"9658880","5000","5000","5000","","","","","","","","","","","",""
"9658944","","","","","","","","","","","","","1664","1664","1664"
"9659008","5000","5000","5000","","","","","","","","","","","",""
"9659456","","","","","","","","","","1688","1688","1688","","",""
"9660608","","","","","","","5000","5000","5000","","","","","",""
"9661120","","","","1111","1111","1111","","","","","","","","",""
"9662016","","","","","","","","","","5000","5000","5000","","",""
"9662336","","","","","","","","","","2317","2317","2317","","",""
"9662464","5000","5000","5000","","","","","","","","","","","",""
"9663104","","","","","","","1910","1910","1910","","","","","",""
"9663360","","","","4784","4784","4784","","","","","","","","",""
"9663744","","","","","","","","","","664","664","664","","",""
"9664896","","","","","","","5000","5000","5000","","","","","",""
"9665472","","","","524","524","524","","","","","","","","",""
"9665728","","","","","","","","","","","","","544","544","544"
"9666048","5000","5000","5000","","","","","","","","","","","",""
"9668480","5000","5000","5000","","","","","","","","","","","",""
"9670208","5000","5000","5000","","","","","","","","","","","",""
"9671232","","","","3366","3366","3366","","","","","","","","",""
"9671744","","","","4399","4399","4399","","","","","","","","",""
"9673472","5000","5000","5000","","","","","","","","","","","",""
"9673600","5000","5000","5000","","","","","","","","","","","",""
"9674048","","","","","","","","","","3804","3804","3804","","",""
"9674880","","","","2002","2002","2002","","","","","","","","",""
"9676160","","","","5000","5000","5000","","","","","","","","",""
"9676672","","","","","","","","","","1541","1541","1541","","",""
"9676928","","","","","","","365","365","365","","","","","",""
"9677120","5000","5000","5000","","","","","","","","","","","",""
"9678784","","","","","","","","","","968","968","968","","",""
"9681728","","","","","","","1604","1604","1604","","","","","",""
"9686080","4577","4577","4577","","","","","","","","","","","",""
"9686272","","","","5000","5000","5000","","","","","","","","",""
"9687872","","","","","","","","","","","","","1032","1032","1032"
"9690624","2885","2885","2885","","","","","","","","","","","",""
"9691776","","","","","","","","","","4824","4824","4824","","",""
"9692992","5000","5000","5000","","","","","","","","","","","",""
"9693568","","","","","","","","","","","","","1732","1732","1732"
"9695296","","","","2981","2981","2981","","","","","","","","",""
"9695488","","","","3339","3339","3339","","","","","","","","",""
"9695808","","","","542","542","542","","","","","","","","",""
"9696448","","","","","","","","","","5000","5000","5000","","",""
"9696832","5000","5000","5000","","","","","","","","","","","",""
"9697024","","","","969","969","969","","","","","","","","",""
"9697344","","","","","","","","","","2322","2322","2322","","",""
"9697600","","","","","","","","","","5000","5000","5000","","",""
"9697792","","","","","","","","","","2810","2810","2810","","",""
"9697984","1208","1208","1208","","","","","","","","","","","",""
"9700160","","","","","","","","","","","","","1482","1482","1482"
"9700864","","","","","","","","","","3213","3213","3213","","",""
"9700928","2533","2533","2533","","","","","","","","","","","",""
"9702400","","","","","","","","","","4733","4733","4733","","",""
"9703232","","","","5000","5000","5000","","","","","","","","",""
"9703296","","","","","","","","","","1476","1476","1476","","",""
"9703488","","","","5000","5000","5000","","","","","","","","",""
"9703936","","","","","","","","","","1627","1627","1627","","",""
"9706560","","","","5000","5000","5000","","","","","","","","",""
"9707200","","","","","","","3212","3212","3212","","","","","",""
"9707392","","","","","","","2165","2165","2165","","","","","",""
"9707776","","","","","","","","","","5000","5000","5000","","",""
"9711104","5000","5000","5000","","","","","","","","","","","",""
"9712000","","","","","","","5000","5000","5000","","","","","",""
"9712192","","","","","","","","","","5000","5000","5000","","",""
"9712704","","","","","","","1965","1965","1965","","","","","",""
"9713344","","","","","","","3688","3688","3688","","","","","",""
"9713664","","","","","","","2791","2791","2791","","","","","",""
"9714432","","","","","","","","","","1391","1391","1391","","",""
"9715008","","","","","","","","","","5000","5000","5000","","",""
"9717888","","","","5000","5000","5000","","","","","","","","",""
"9718848","3604","3604","3604","","","","","","","","","","","",""
"9719936","","","","","","","","","","1338","1338","1338","","",""
"9720064","","","","","","","5000","5000","5000","","","","","",""
"9720256","","","","5000","5000","5000","","","","","","","","",""
"9720512","","","","","","","","","","3328","3328","3328","","",""
"9721792","","","","","","","","","","396","396","396","","",""
"9722176","","","","","","","","","","","","","417","417","417"
"9722240","","","","","","","5000","5000","5000","","","","","",""
"9722368","5000","5000","5000","","","","","","","","","","","",""
"9722432","","","","","","","","","","4679","4679","4679","","",""
"9723328","","","","","","","5000","5000","5000","","","","","",""
"9723392","","","","","","","","","","","","","456","456","456"
"9726016","","","","","","","","","","2148","2148","2148","","",""
"9726656","","","","5000","5000","5000","","","","","","","","",""
"9728768","","","","","","","5000","5000","5000","","","","","",""
"9728832","","","","","","","","","","","","","3075","3075","3075"
"9728896","","","","","","","","","","3065","3065","3065","","",""
"9729152","","","","","","","","","","","","","1550","1550","1550"
"9729344","5000","5000","5000","","","","","","","","","","","",""
"9729984","","","","","","","","","","5000","5000","5000","","",""
"9731008","","","","","","","","","","4318","4318","4318","","",""
"9733632","5000","5000","5000","","","","","","","","","","","",""
"9734208","","","","","","","","","","","","","1070","1070","1070"
"9734272","","","","","","","1084","1084","1084","","","","","",""
"9734656","","","","3609","3609","3609","","","","","","","","",""
"9735680","","","","","","","","","","2846","2846","2846","","",""
"9736256","","","","3418","3418","3418","","","","","","","","",""
"9736960","","","","5000","5000","5000","","","","","","","","",""
"9737792","","","","","","","403","403","403","","","","","",""
"9739008","","","","","","","5000","5000","5000","","","","","",""
"9740032","4327","4327","4327","","","","","","","","","","","",""
"9740864","","","","","","","","","","","","","563","563","563"
"9741376","","","","","","","1007","1007","1007","","","","","",""
"9741824","4806","4806","4806","","","","","","","","","","","",""
"9741888","","","","","","","","","","420","420","420","","",""
"9743424","","","","","","","","","","","","","2659","2659","2659"
"9743552","","","","5000","5000","5000","","","","","","","","",""
"9743936","","","","","","","","","","1253","1253","1253","","",""
"9744128","","","","","","","","","","","","","1377","1377","1377"
"9744896","","","","","","","","","","1033","1033","1033","","",""
"9744960","","","","","","","","","","","","","446","446","446"
"9745344","1066","1066","1066","","","","","","","","","","","",""
"9745792","","","","","","","5000","5000","5000","","","","","",""
"9746048","","","","","","","1524","1524","1524","","","","","",""
"9746368","1468","1468","1468","","","","","","","","","","","",""
"9748288","5000","5000","5000","","","","","","","","","","","",""
"9748672","978","978","978","","","","","","","","","","","",""
"9749056","","","","","","","2799","2799","2799","","","","","",""
"9750784","","","","5000","5000","5000","","","","","","","2806","2806","2806"
"9750976","","","","","","","","","","","","","2885","2885","2885"
"9751232","5000","5000","5000","","","","587","587","587","","","","","",""
"9752320","","","","5000","5000","5000","","","","","","","","",""
"9753472","","","","","","","5000","5000","5000","","","","","",""
"9753728","","","","","","","","","","","","","1030","1030","1030"
"9754368","5000","5000","5000","","","","","","","","","","","",""
"9754560","","","","","","","5000","5000","5000","","","","","",""
"9757184","","","","","","","2339","2339","2339","","","","","",""
"9757888","","","","","","","","","","5000","5000","5000","","",""
"9758272","","","","","","","5000","5000","5000","","","","","",""
"9759168","1339","1339","1339","","","","","","","","","","","",""
"9759360","5000","5000","5000","","","","","","","","","","","",""
